======================================================================
OPTION STRATEGY BACKTEST ANALYSIS
======================================================================

Total Backtests: 135
[PROFITABLE] 60 (44.4%)
[LOSING] 75 (55.6%)

[PROFITABLE] STRATEGIES:
----------------------------------------------------------------------
38. [LOSS] Straddle             | PnL: Rs  -6802.83
39. [LOSS] Straddle             | PnL: Rs  -6802.83
40. [LOSS] Straddle             | PnL: Rs  -6802.83
41. [LOSS] Strangle             | PnL: Rs  -9076.62
42. [LOSS] Strangle             | PnL: Rs  -9076.62
43. [LOSS] Strangle             | PnL: Rs  -9076.62
44. [LOSS] Strangle             | PnL: Rs  -9076.62
45. [LOSS] Strangle             | PnL: Rs  -9076.62

1WEEK:
1. [PROFIT] Straddle             | PnL: Rs  31576.49
2. [PROFIT] Straddle             | PnL: Rs  31576.49
3. [PROFIT] Straddle             | PnL: Rs  31576.49
4. [PROFIT] Straddle             | PnL: Rs  31576.49
5. [PROFIT] Straddle             | PnL: Rs  31576.49
6. [PROFIT] Strangle             | PnL: Rs  24322.46
7. [PROFIT] Strangle             | PnL: Rs  24322.46
8. [PROFIT] Strangle             | PnL: Rs  24322.46
9. [PROFIT] Strangle             | PnL: Rs  24322.46
10. [PROFIT] Strangle             | PnL: Rs  24322.46
11. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
12. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
13. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
14. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
15. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
16. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
17. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
18. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
19. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
20. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
21. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
22. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
23. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
24. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
25. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
26. [LOSS] Protective Put       | PnL: Rs  -7502.06
27. [LOSS] Protective Put       | PnL: Rs  -7502.06
28. [LOSS] Protective Put       | PnL: Rs  -7502.06
29. [LOSS] Protective Put       | PnL: Rs  -7502.06
30. [LOSS] Protective Put       | PnL: Rs  -7502.06
31. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
32. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
33. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
34. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
35. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
36. [LOSS] Iron Condor          | PnL: Rs -18423.07
37. [LOSS] Iron Condor          | PnL: Rs -18423.07
38. [LOSS] Iron Condor          | PnL: Rs -18423.07
39. [LOSS] Iron Condor          | PnL: Rs -18423.07
40. [LOSS] Iron Condor          | PnL: Rs -18423.07
41. [LOSS] Covered Call         | PnL: Rs -31946.47
42. [LOSS] Covered Call         | PnL: Rs -31946.47
43. [LOSS] Covered Call         | PnL: Rs -31946.47
44. [LOSS] Covered Call         | PnL: Rs -31946.47
45. [LOSS] Covered Call         | PnL: Rs -31946.47

1MONTH:
1. [PROFIT] Straddle             | PnL: Rs  31576.49
2. [PROFIT] Straddle             | PnL: Rs  31576.49
3. [PROFIT] Straddle             | PnL: Rs  31576.49
4. [PROFIT] Straddle             | PnL: Rs  31576.49
5. [PROFIT] Straddle             | PnL: Rs  31576.49
6. [PROFIT] Strangle             | PnL: Rs  24322.46
7. [PROFIT] Strangle             | PnL: Rs  24322.46
8. [PROFIT] Strangle             | PnL: Rs  24322.46
9. [PROFIT] Strangle             | PnL: Rs  24322.46
10. [PROFIT] Strangle             | PnL: Rs  24322.46
11. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
12. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
13. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
14. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
15. [PROFIT] Bull Call Spread     | PnL: Rs  11891.96
16. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
17. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
18. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
19. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
20. [PROFIT] Calendar Spread      | PnL: Rs   3167.93
21. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
22. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
23. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
24. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
25. [LOSS] Iron Butterfly       | PnL: Rs  -2271.02
26. [LOSS] Protective Put       | PnL: Rs  -7502.06
27. [LOSS] Protective Put       | PnL: Rs  -7502.06
28. [LOSS] Protective Put       | PnL: Rs  -7502.06
29. [LOSS] Protective Put       | PnL: Rs  -7502.06
30. [LOSS] Protective Put       | PnL: Rs  -7502.06
31. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
32. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
33. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
34. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
35. [LOSS] Bear Put Spread      | PnL: Rs  -7597.60
36. [LOSS] Iron Condor          | PnL: Rs -18423.07
37. [LOSS] Iron Condor          | PnL: Rs -18423.07
38. [LOSS] Iron Condor          | PnL: Rs -18423.07
39. [LOSS] Iron Condor          | PnL: Rs -18423.07
40. [LOSS] Iron Condor          | PnL: Rs -18423.07
41. [LOSS] Covered Call         | PnL: Rs -31946.47
42. [LOSS] Covered Call         | PnL: Rs -31946.47
43. [LOSS] Covered Call         | PnL: Rs -31946.47
44. [LOSS] Covered Call         | PnL: Rs -31946.47
45. [LOSS] Covered Call         | PnL: Rs -31946.47
